Core Data Product-Parameter,BENTHFL-TEMPTIME,BENTHFL-AMBTEMP
Descriptive Name,FLOBN-M Temperature Sample Time,FLOBN-M Ambient Temperature
Units,yyyy/mm/dd hh:mm,Centigrade
Format,GMT Date and Time,Floating Point
Significant Digits,Minute Resolution ,3 decimal points
***SKIP FIRST LINE OF FILE***,"Date Time, GMT-07:00","Temp, C (LGR S/N: 10333951, SEN S/N: 10333951)"
,2013/06/26 13:37,24.026
,2013/06/26 14:07,23.064
,2013/06/26 14:37,22.92
,2013/06/26 15:07,23.978
,2013/06/26 15:37,24.339
,2013/06/26 16:07,23.376
,2013/06/26 16:37,23.088
,2013/06/26 17:07,22.944
,2013/06/26 17:37,23.16
,2013/06/26 18:07,23.352
,2013/06/26 18:37,23.328
,2013/06/26 19:07,25.186
,2013/06/26 19:37,24.702
,2013/06/26 20:07,23.424
,2013/06/26 20:37,22.848
,2013/06/26 21:07,22.585
,2013/06/26 21:37,22.441
,2013/06/26 22:07,22.321
,2013/06/26 22:37,22.226
,2013/06/26 23:07,22.154
,2013/06/26 23:37,22.13
,2013/06/27 00:07,21.987
,2013/06/27 00:37,21.294
,2013/06/27 01:07,20.77
,2013/06/27 01:37,20.412
,2013/06/27 02:07,20.103
,2013/06/27 02:37,19.912
,2013/06/27 03:07,19.77
,2013/06/27 03:37,19.627
,2013/06/27 04:07,19.508
,2013/06/27 04:37,19.508
,2013/06/27 05:07,20.222
,2013/06/27 05:37,20.793
,2013/06/27 06:07,21.199
,2013/06/27 06:37,21.461
,2013/06/27 07:07,21.509
,2013/06/27 07:37,21.581
,2013/06/27 08:07,21.676
,2013/06/27 08:37,21.963
,2013/06/27 09:07,22.082
,2013/06/27 09:37,22.393
,2013/06/27 10:07,22.441
,2013/06/27 10:37,22.393
,2013/06/27 11:07,22.465
,2013/06/27 11:37,22.465
,2013/06/27 12:07,22.561
,2013/06/27 12:37,22.609
,2013/06/27 13:07,22.705
,2013/06/27 13:37,22.729
,2013/06/27 14:07,22.753
,2013/06/27 14:37,22.8
,2013/06/27 15:07,22.776
,2013/06/27 15:37,22.896
,2013/06/27 16:07,23.016
,2013/06/27 16:37,23.04
,2013/06/27 17:07,22.968
,2013/06/27 17:37,22.633
,2013/06/27 18:07,22.321
,2013/06/27 18:37,22.202
,2013/06/27 19:07,22.178
,2013/06/27 19:37,22.202
,2013/06/27 20:07,22.058
,2013/06/27 20:37,22.011
,2013/06/27 21:07,22.034
,2013/06/27 21:37,21.963
,2013/06/27 22:07,21.915
,2013/06/27 22:37,21.963
,2013/06/27 23:07,21.939
,2013/06/27 23:37,21.891
,2013/06/28 00:07,21.795
,2013/06/28 00:37,21.079
,2013/06/28 01:07,20.555
,2013/06/28 01:37,20.198
,2013/06/28 02:07,19.96
,2013/06/28 02:37,19.793
,2013/06/28 03:07,19.651
,2013/06/28 03:37,19.555
,2013/06/28 04:07,19.46
,2013/06/28 04:37,19.436
,2013/06/28 05:07,20.007
,2013/06/28 05:37,20.484
,2013/06/28 06:07,20.865
,2013/06/28 06:37,21.103
,2013/06/28 07:07,21.27
,2013/06/28 07:37,21.366
,2013/06/28 08:07,21.557
,2013/06/28 08:37,21.819
,2013/06/28 09:07,22.226
,2013/06/28 09:37,22.441
,2013/06/28 10:07,22.633
,2013/06/28 10:37,22.681
,2013/06/28 11:07,22.633
,2013/06/28 11:37,22.609
,2013/06/28 12:07,22.609
,2013/06/28 12:37,22.585
,2013/06/28 13:07,22.609
,2013/06/28 13:37,22.609
,2013/06/28 14:07,22.681
,2013/06/28 14:37,22.8
,2013/06/28 15:07,22.8
,2013/06/28 15:37,22.992
,2013/06/28 16:07,23.064
,2013/06/28 16:37,23.088
,2013/06/28 17:07,23.184
,2013/06/28 17:37,23.16
,2013/06/28 18:07,23.208
,2013/06/28 18:37,23.232
,2013/06/28 19:07,23.256
,2013/06/28 19:37,23.016
,2013/06/28 20:07,22.776
,2013/06/28 20:37,22.705
,2013/06/28 21:07,22.537
,2013/06/28 21:37,22.393
,2013/06/28 22:07,22.393
,2013/06/28 22:37,22.345
,2013/06/28 23:07,22.226
,2013/06/28 23:37,22.154
,2013/06/29 00:07,22.106
,2013/06/29 00:37,21.294
,2013/06/29 01:07,20.722
,2013/06/29 01:37,20.341
,2013/06/29 02:07,20.055
,2013/06/29 02:37,19.841
,2013/06/29 03:07,19.674
,2013/06/29 03:37,19.508
,2013/06/29 04:07,19.413
,2013/06/29 04:37,19.413
,2013/06/29 05:07,20.079
,2013/06/29 05:37,20.579
,2013/06/29 06:07,20.936
,2013/06/29 06:37,21.199
,2013/06/29 07:07,21.413
,2013/06/29 07:37,21.557
,2013/06/29 08:07,21.7
,2013/06/29 08:37,21.819
,2013/06/29 09:07,21.915
,2013/06/29 09:37,21.987
,2013/06/29 10:07,22.082
,2013/06/29 10:37,22.106
,2013/06/29 11:07,22.298
,2013/06/29 11:37,22.417
,2013/06/29 12:07,22.465
,2013/06/29 12:37,22.513
,2013/06/29 13:07,22.465
,2013/06/29 13:37,22.298
,2013/06/29 14:07,22.178
,2013/06/29 14:37,22.226
,2013/06/29 15:07,22.178
,2013/06/29 15:37,22.298
,2013/06/29 16:07,22.298
,2013/06/29 16:37,22.393
,2013/06/29 17:07,22.513
,2013/06/29 17:37,22.537
,2013/06/29 18:07,22.872
,2013/06/29 18:37,23.088
,2013/06/29 19:07,23.04
,2013/06/29 19:37,23.304
,2013/06/29 20:07,22.896
,2013/06/29 20:37,22.537
,2013/06/29 21:07,22.298
,2013/06/29 21:37,22.321
,2013/06/29 22:07,22.202
,2013/06/29 22:37,22.202
,2013/06/29 23:07,22.154
,2013/06/29 23:37,22.034
,2013/06/30 00:07,22.034
,2013/06/30 00:37,21.175
,2013/06/30 01:07,20.627
,2013/06/30 01:37,20.246
,2013/06/30 02:07,19.984
,2013/06/30 02:37,19.746
,2013/06/30 03:07,19.603
,2013/06/30 03:37,19.46
,2013/06/30 04:07,19.341
,2013/06/30 04:37,19.341
,2013/06/30 05:07,20.079
,2013/06/30 05:37,20.65
,2013/06/30 06:07,21.056
,2013/06/30 06:37,21.342
,2013/06/30 07:07,21.557
,2013/06/30 07:37,21.7
,2013/06/30 08:07,21.819
,2013/06/30 08:37,21.891
,2013/06/30 09:07,21.963
,2013/06/30 09:37,22.034
,2013/06/30 10:07,21.987
,2013/06/30 10:37,22.011
,2013/06/30 11:07,21.963
,2013/06/30 11:37,22.034
,2013/06/30 12:07,22.082
,2013/06/30 12:37,22.082
,2013/06/30 13:07,22.011
,2013/06/30 13:37,22.13
,2013/06/30 14:07,22.058
,2013/06/30 14:37,22.154
,2013/06/30 15:07,22.13
,2013/06/30 15:37,22.393
,2013/06/30 16:07,22.657
,2013/06/30 16:37,22.681
,2013/06/30 17:07,22.417
,2013/06/30 17:37,22.321
,2013/06/30 18:07,22.226
,2013/06/30 18:37,22.465
,2013/06/30 19:07,22.369
,2013/06/30 19:37,22.274
,2013/06/30 20:07,22.345
,2013/06/30 20:37,22.178
,2013/06/30 21:07,22.058
,2013/06/30 21:37,22.13
,2013/06/30 22:07,22.058
,2013/06/30 22:37,22.13
,2013/06/30 23:07,22.082
,2013/06/30 23:37,22.011
,2013/07/01 00:07,21.987
,2013/07/01 00:37,21.056
,2013/07/01 01:07,20.46
,2013/07/01 01:37,20.079
,2013/07/01 02:07,19.817
,2013/07/01 02:37,19.603
,2013/07/01 03:07,19.413
,2013/07/01 03:37,19.318
,2013/07/01 04:07,19.222
,2013/07/01 04:37,19.246
,2013/07/01 05:07,19.984
,2013/07/01 05:37,20.531
,2013/07/01 06:07,20.889
,2013/07/01 06:37,21.127
,2013/07/01 07:07,21.318
,2013/07/01 07:37,21.461
,2013/07/01 08:07,21.581
,2013/07/01 08:37,21.676
,2013/07/01 09:07,21.963
,2013/07/01 09:37,22.13
,2013/07/01 10:07,22.25
,2013/07/01 10:37,22.393
,2013/07/01 11:07,22.513
,2013/07/01 11:37,22.585
,2013/07/01 12:07,22.609
,2013/07/01 12:37,22.609
,2013/07/01 13:07,22.633
,2013/07/01 13:37,22.657
,2013/07/01 14:07,22.8
,2013/07/01 14:37,22.753